 ultra, l0, raw

 ultra, l1a, 45sensor-de
 ultra, l1a, 45sensor-aux
 ultra, l1a, 45sensor-params
 ultra, l1a, 45sensor-rates
 ultra, l1a, 90sensor-de
 ultra, l1a, 90sensor-aux
 ultra, l1a, 90sensor-params
 ultra, l1a, 90sensor-rates

 ultra, l1b, 45sensor-de
 ultra, l1b, 45sensor-extendedspin
 ultra, l1b, 90sensor-de
 ultra, l1b, 90sensor-extendedspin
 ultra, l1c, 45sensor-heliopset
 ultra, l1c, 45sensor-spacecraftpset
 ultra, l1c, 90sensor-heliopset
 ultra, l1c, 90sensor-spacecraftpset
 ultra, l2, u45-ena-h-hf-nsp-full-hae-2deg-1yr
 ultra, l2, u45-ena-h-hf-nsp-full-hae-2deg-3mo
 ultra, l2, u45-ena-h-hf-nsp-full-hae-2deg-6mo
 ultra, l2, u45-ena-h-hf-nsp-full-hae-4deg-1yr
 ultra, l2, u45-ena-h-hf-nsp-full-hae-4deg-3mo
 ultra, l2, u45-ena-h-hf-nsp-full-hae-4deg-6mo
 ultra, l2, u45-ena-h-hf-nsp-full-hae-6deg-1yr
 ultra, l2, u45-ena-h-hf-nsp-full-hae-6deg-3mo
 ultra, l2, u45-ena-h-hf-nsp-full-hae-6deg-6mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-2deg-1yr
 ultra, l2, u45-ena-h-sf-nsp-full-hae-2deg-3mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-2deg-6mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-4deg-1yr
 ultra, l2, u45-ena-h-sf-nsp-full-hae-4deg-3mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-4deg-6mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-6deg-1yr
 ultra, l2, u45-ena-h-sf-nsp-full-hae-6deg-3mo
 ultra, l2, u45-ena-h-sf-nsp-full-hae-6deg-6mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-2deg-1yr
 ultra, l2, u90-ena-h-hf-nsp-full-hae-2deg-3mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-2deg-6mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-4deg-1yr
 ultra, l2, u90-ena-h-hf-nsp-full-hae-4deg-3mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-4deg-6mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-6deg-1yr
 ultra, l2, u90-ena-h-hf-nsp-full-hae-6deg-3mo
 ultra, l2, u90-ena-h-hf-nsp-full-hae-6deg-6mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-2deg-1yr
 ultra, l2, u90-ena-h-sf-nsp-full-hae-2deg-3mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-2deg-6mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-4deg-1yr
 ultra, l2, u90-ena-h-sf-nsp-full-hae-4deg-3mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-4deg-6mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-6deg-1yr
 ultra, l2, u90-ena-h-sf-nsp-full-hae-6deg-3mo
 ultra, l2, u90-ena-h-sf-nsp-full-hae-6deg-6mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-2deg-1yr
 ultra, l3, u45-spx-h-hf-sp-full-hae-2deg-3mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-2deg-6mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-4deg-1yr
 ultra, l3, u45-spx-h-hf-sp-full-hae-4deg-3mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-4deg-6mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-6deg-1yr
 ultra, l3, u45-spx-h-hf-sp-full-hae-6deg-3mo
 ultra, l3, u45-spx-h-hf-sp-full-hae-6deg-6mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-2deg-1yr
 ultra, l3, u90-spx-h-hf-sp-full-hae-2deg-3mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-2deg-6mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-4deg-1yr
 ultra, l3, u90-spx-h-hf-sp-full-hae-4deg-3mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-4deg-6mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-6deg-1yr
 ultra, l3, u90-spx-h-hf-sp-full-hae-6deg-3mo
 ultra, l3, u90-spx-h-hf-sp-full-hae-6deg-6mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-2deg-1yr
 ultra, l3, ulc-spx-h-hf-sp-full-hae-2deg-3mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-2deg-6mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-4deg-1yr
 ultra, l3, ulc-spx-h-hf-sp-full-hae-4deg-3mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-4deg-6mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-6deg-1yr
 ultra, l3, ulc-spx-h-hf-sp-full-hae-6deg-3mo
 ultra, l3, ulc-spx-h-hf-sp-full-hae-6deg-6mo
