start_date,end_date,doy
20250924,20250927,240
20250927,20251027,270
20251027,20251126,300
20251126,20251226,330
20251226,20260101,360
20260101,20260130,1
20260130,20260301,30
20260301,20260331,60
20260331,20260430,90
20260430,20260530,120
20260530,20260629,150
20260629,20260729,180
20260729,20260828,210
20260828,20260927,240
20260927,20261027,270
20261027,20261126,300
20261126,20261226,330
20261226,20270101,360
20270101,20270130,1
20270130,20270301,30
20270301,20270331,60
20270331,20270430,90
20270430,20270530,120
20270530,20270629,150
20270629,20270729,180
20270729,20270828,210
20270828,20270927,240
20270927,20271027,270
20271027,20271126,300
20271126,20271226,330
20271226,20280101,360
20280101,20280130,1
20280130,20280229,30
20280229,20280330,60
20280330,20280429,90
20280429,20280529,120
20280529,20280628,150
20280628,20280728,180
20280728,20280827,210
20280827,20280926,240
20280926,20281026,270
20281026,20281125,300
20281125,20281225,330
20281225,20290101,360
20290101,20290130,1
20290130,20290301,30
20290301,20290331,60
20290331,20290430,90
20290430,20290530,120
20290530,20290629,150
20290629,20290729,180
20290729,20290828,210
20290828,20290927,240
20290927,20291027,270
20291027,20291126,300
20291126,20291226,330
20291226,20300101,360
20300101,20300130,1
20300130,20300301,30
20300301,20300331,60
20300331,20300430,90
20300430,20300530,120
20300530,20300629,150
20300629,20300729,180
20300729,20300828,210
20300828,20300927,240
20300927,20301027,270
20301027,20301126,300
20301126,20301226,330
20301226,20310101,360
20310101,20310130,1
20310130,20310301,30
20310301,20310331,60
20310331,20310430,90
20310430,20310530,120
20310530,20310629,150
20310629,20310729,180
20310729,20310828,210
20310828,20310927,240
20310927,20311027,270
20311027,20311126,300
20311126,20311226,330
20311226,20320101,360
20320101,20320130,1
20320130,20320229,30
20320229,20320330,60
20320330,20320429,90
20320429,20320529,120
20320529,20320628,150
20320628,20320728,180
20320728,20320827,210
20320827,20320926,240
20320926,20321026,270
20321026,20321125,300
20321125,20321225,330
20321225,20330101,360
20330101,20330130,1
20330130,20330301,30
20330301,20330331,60
20330331,20330430,90
20330430,20330530,120
20330530,20330629,150
20330629,20330729,180
20330729,20330828,210
20330828,20330927,240
20330927,20331027,270
20331027,20331126,300
20331126,20331226,330
20331226,20340101,360
20340101,20340130,1
20340130,20340301,30
20340301,20340331,60
20340331,20340430,90
20340430,20340530,120
20340530,20340629,150
20340629,20340729,180
20340729,20340828,210
20340828,20340927,240
20340927,20341027,270
20341027,20341126,300
20341126,20341226,330
20341226,20350101,360
20350101,20350130,1
20350130,20350301,30
20350301,20350331,60
20350331,20350430,90
20350430,20350530,120
20350530,20350629,150
20350629,20350729,180
20350729,20350828,210
20350828,20350927,240
20350927,20351027,270
20351027,20351126,300
20351126,20351226,330
20351226,20360101,360
20360101,20360130,1
20360130,20360229,30
20360229,20360330,60
20360330,20360429,90
20360429,20360529,120
20360529,20360628,150
20360628,20360728,180
20360728,20360827,210
20360827,20360926,240
20360926,20361026,270
20361026,20361125,300
20361125,20361225,330
20361225,20370101,360
